achieve|достигать
improve|улучшать
increase|увеличивать
develop|развивать
support|поддерживать
provide|обеспечивать
knowledge|знание
experience|опыт
opportunity|возможность
environment|окружающая среда
government|правительство
education|образование
decision|решение
success|успех
research|исследование
project|проект
society|общество
relationship|отношение
communication|общение
responsibility|ответственность
attitude|отношение
behaviour|поведение
benefit|выгода
challenge|вызов
character|характер
choice|выбор
community|сообщество
condition|условие
confidence|уверенность
consequence|последствие
culture|культура
detail|деталь
effort|усилие
emotion|эмоция
evidence|доказательство
feature|особенность
freedom|свобода
generation|поколение
goal|цель
habit|привычка
income|доход
industry|промышленность
influence|влияние
issue|проблема
method|метод
option|вариант
outcome|результат
pattern|образец
pressure|давление
process|процесс
reason|причина
region|регион
resource|ресурс
respect|уважение
role|роль
situation|ситуация
skill|навык
source|источник
standard|стандарт
strategy|стратегия
task|задача
treatment|лечение
trend|тенденция
value|ценность
admit|признавать
affect|влиять
avoid|избегать
consider|рассматривать
contain|содержать
deliver|доставлять
encourage|поощрять
ensure|обеспечивать
examine|исследовать
handle|справляться
ignore|игнорировать
maintain|поддерживать
manage|управлять
mention|упоминать
perform|выполнять
prevent|предотвращать
reduce|сокращать
refuse|отказываться
remove|удалять
replace|заменять
require|требовать
solve|решать
suffer|страдать
survive|выживать
treat|обращаться
